topic_id,phi_sum,theta_sum,h,top_terms,label,genre_travel,genre_domestic,genre_historical,genre_gothic,genre_sea,auth_MELVILLE,auth_AUSTEN,title_TYPEE A ROMANCE OF T,title_PIERRE OR THE AMBIGU,title_WHITE JACKET OR THE ,title_MARDI AND A VOYAGE T,title_LADY SUSAN,title_SENSE AND SENSIBILIT,title_MOBY DICK OR THE WHA,title_NORTHANGER ABBEY,title_ISRAEL POTTER HIS FI,title_OMOO ADVENTURES IN T,title_PERSUASION,title_REDBURN HIS FIRST VO,title_PRIDE AND PREJUDICE,title_LOVE AND FREINDSHIP ,title_THE CONFIDENCE MAN H,title_MANSFIELD PARK,title_EMMA,author,genre,title
10,648.3683535599378,5.279704222486079,7.42,stone spring yet old might boy end seemed,10: stone spring yet old might boy end seemed,0.008390181088215322,0.0003819990199759938,0.004485559110532319,0.015987666619504473,0.001980635108247477,0.0060533873747563955,0.0004021705207878503,0.001998293691837275,0.020172214113488886,0.00034415257537913666,0.0018677272126813693,0.0005711860139964012,0.0008438300744869408,0.0006166204433080243,0.0005993306738843858,0.004485559110532319,0.00041417602980802995,6.271500027691109e-05,0.006606371729028551,0.0001560691347942923,0.0005041619055498719,0.01807192093561812,0.00042509094882615207,0.00012010807724684988,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU
11,75199.82006415815,125.69144610738886,8.83,could said know mr think much may never,11: could said know mr think much may never,0.011189077154731074,0.35729281663364065,0.0009499795298877377,0.07524498758503995,0.00833121297491755,0.009805156342264764,0.35136845274390416,0.0035645659294930515,0.015905117748771486,0.004556814119479361,0.004276401906122212,0.4808332647294228,0.36963176559949423,0.009817252789318496,0.29346257343454335,0.0009499795298877377,0.011013042906060408,0.15237394322438977,0.0202909483432262,0.363122181647593,0.2860866697388946,0.014229834821943165,0.3459668417159283,0.37789191112955584,auth_AUSTEN,genre_domestic,title_LADY SUSAN
12,29342.796265195604,102.63503778751192,8.71,old round came little day house three among,12: old round came little day house three among,0.10986486796322657,0.004748305225662976,0.21863036251319007,0.06626345937690674,0.12535371194076295,0.11864565384596189,0.00534800005522245,0.0440407752997786,0.0812342638121321,0.07456790398745357,0.18189647596526504,0.003839350292721725,0.009368829039548715,0.048556271723779985,0.011209533389303746,0.21863036251319007,0.21235426794397522,0.007027807119250842,0.1797704054903804,0.003386772913075152,0.0036016850646372147,0.04135251632029153,0.003268256251285516,0.0035328074404409565,auth_MELVILLE,genre_historical,title_ISRAEL POTTER HIS FI
13,53229.185453451195,108.55180731273917,8.91,could lady mrs every might much mr mother,13: could lady mrs every might much mr mother,0.01998307006595606,0.2912945976001348,0.014851818656065316,0.07726613162121977,0.009082392877774868,0.016537454844529963,0.2829190739367926,0.017736130414852027,0.043604223359903514,0.003869012813845534,0.00724324295883512,0.3884640644022848,0.33647108964797146,0.0034440478121893076,0.2010550845821895,0.014851818656065316,0.010075588973180083,0.30775680159268487,0.029804916199897377,0.2909594493740886,0.4031144526072814,0.02985873004090236,0.2303311025873097,0.17538822751162034,auth_AUSTEN,genre_domestic,title_LOVE AND FREINDSHIP 
14,5487.225565713634,12.847049898322446,7.64,captain could little home think go good well,14: captain could little home think go good well,0.017188105718964206,0.013476739260821914,0.007695725722013772,0.0058744983809914195,0.008276861360732846,0.009949984423912074,0.013142404604781893,0.0027386238542359454,0.004786764239260028,0.01068241829121839,0.0035192279224432687,0.020906671276706108,8.952230163151383e-05,0.010578970269524153,0.00987455296671331,0.007695725722013772,0.021985217785429657,0.1253969130680914,0.01326065948186876,0.0007344149956787109,0.0005678375381989696,0.0182760967628597,0.002589187686179055,0.0005376003705189839,auth_AUSTEN,genre_travel,title_PERSUASION
15,7484.298244180105,21.056055149201026,6.94,thought could little never used thing good much,15: thought could little never used thing good much,0.021381497726297632,0.0072805711898479295,0.0031172663071287166,0.013042336396771397,0.024791547871243467,0.021796231109087672,0.007572630857714098,0.004653110192281899,0.013753448610344441,0.007335231390127342,0.017250760738276964,0.0026308956016790983,0.003937722871785141,0.011432383847363158,0.010427278579115691,0.0031172663071287166,0.02517422186843156,0.010842012993309674,0.08786846123645672,0.002689398091761447,0.0005041619093921556,0.024245517687426003,0.014015287839940131,0.014402998357934632,auth_MELVILLE,genre_sea,title_REDBURN HIS FIRST VO
16,284.46085064111026,4.907596528277059,8.0,letter lady end might nothing easy cabin land,16: letter lady end might nothing easy cabin land,0.01427538015751389,0.0001816726444214819,0.0001445059481163355,0.0010894704490226942,0.0034790189440597635,0.0057056838964546375,0.0001729497493731058,9.394007814834385e-05,0.0013618842989244068,0.0010268117664089568,0.0057715903185661084,0.000571186013380359,8.952230108590854e-05,0.0004852089483971472,8.769048486800983e-05,0.0001445059481163355,0.00020312120298983624,6.27149999418194e-05,0.005936678196836411,0.00010943856538114313,0.0005041619044720442,0.03245420456828501,6.176151174480818e-05,7.103125270701141e-05,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H
17,53055.26775937429,77.49236347953106,8.55,mr mrs miss could said much well quite,17: mr mrs miss could said much well quite,0.014723778549565586,0.20140498624465797,0.0065259932697889645,0.0702514988897825,0.00610513938148379,0.00990891038290121,0.2067957774073802,9.394007898949798e-05,0.018792881728814635,0.004305817796212508,0.0010687824001265058,0.02264531571879981,0.14270276006671773,0.0054195959763361405,0.2594864136107611,0.0065259932697889645,0.013061047324693495,0.2526756142905168,0.02203119306250944,0.25923883188697,0.05549507926420361,0.02176553931000004,0.21556616064296408,0.352823159691709,auth_AUSTEN,genre_domestic,title_EMMA
18,39160.59980309542,111.29285832755586,8.72,ship deck captain men sea sailors ships war,18: ship deck captain men sea sailors ships war,0.09487247344583893,0.0015137920524504048,0.12515384600300547,0.0029918673973853703,0.17391148149327734,0.13038995403601158,0.0013814293321737336,0.03670782783500492,0.003781599715502845,0.512185517876093,0.03492875063665322,0.0005711860139322675,8.952230162434982e-05,0.09293321101143785,8.769048559852822e-05,0.12515384600300547,0.19982520260621583,0.009398613081348305,0.26564766734348855,0.0007028656351592036,0.0009786525421957004,0.0212221863304773,0.002712755551425165,0.00015714191021558204,auth_MELVILLE,genre_sea,title_WHITE JACKET OR THE 
19,15459.92354665079,54.58316297093281,7.92,thou thee thy oh yet mother love shall,19: thou thee thy oh yet mother love shall,0.007078981129126675,0.0037779255496904977,0.00314930066271679,0.23890085715887543,0.03430323262593669,0.06284094197741612,0.0034980906890092886,0.006731304171946533,0.30365766174968467,0.005108592976546017,0.04426631747949593,0.0018538345857457726,8.952230170481832e-05,0.05391433122668744,0.0007629305991252129,0.00314930066271679,0.00020312120393853786,6.271500031634706e-05,0.009133664605376204,0.00010943856612183357,0.04176181251506134,0.013474998133677257,0.0005463843923320986,0.0005006771767448504,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU
